<TICKER>,<PER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SiU9,D,20181112,70460,70576,70020,70362,32,3798
SiU9,D,20181113,70360,70360,70300,70300,2278,8350
SiU9,D,20181114,70710,71060,69660,69800,104,8310
SiU9,D,20181115,69874,69900,69225,69420,7,8312
SiU9,D,20181116,68897,68897,68389,68547,77,8366
SiU9,D,20181119,68602,68602,68474,68498,10,8380
SiU9,D,20181120,68210,68736,68210,68736,2,8382
SiU9,D,20181121,68824,68830,68400,68400,52,8480
SiU9,D,20181122,68100,68142,68100,68142,3,8484
SiU9,D,20181123,68055,68837,68055,68837,14,8500
SiU9,D,20181126,68765,69730,68765,69704,21,8500
SiU9,D,20181127,69796,69810,69200,69300,2532,13546
SiU9,D,20181128,69575,70000,69575,70000,5032,19774
SiU9,D,20181129,69360,69360,68690,68690,2112,23764
SiU9,D,20181130,68526,69381,68526,69381,17,23778
SiU9,D,20181203,68560,68964,68560,68964,1006,25786
SiU9,D,20181204,69036,69175,68580,68741,5012,35780
SiU9,D,20181205,69100,69231,69051,69051,1027,37806
SiU9,D,20181206,69000,69500,69000,69263,28,37812
SiU9,D,20181207,69317,69450,68500,68651,60,37878
SiU9,D,20181210,68801,68879,68801,68876,8,37878
SiU9,D,20181211,69000,69000,68901,68901,9,37882
SiU9,D,20181212,68787,68787,68751,68751,6,37890
SiU9,D,20181213,68747,68829,68600,68769,31,37854
SiU9,D,20181214,68878,69227,68800,69220,26,37830
SiU9,D,20181217,69061,69151,68834,69151,15,37844
SiU9,D,20181218,68985,69263,68985,69263,13,37844
SiU9,D,20181219,69418,70110,69415,70005,123,37858
SiU9,D,20181220,69958,70560,69464,70560,127,37872
SiU9,D,20181221,70600,71094,70250,70930,34212,106042
SiU9,D,20181224,71100,71360,70577,70577,10099,126080
SiU9,D,20181225,70720,71370,70683,71288,3249,132114
SiU9,D,20181226,71250,71948,71055,71558,264,132234
SiU9,D,20181227,71439,71990,71232,71845,282,132544
SiU9,D,20181228,72060,72260,71717,72000,198,132532
SiU9,D,20181229,72059,72252,71700,72252,1652,135648
SiU9,D,20190103,72050,72123,71190,71344,192,135722
SiU9,D,20190104,71083,71083,70075,70075,158,135600
SiU9,D,20190108,70001,70121,69200,69200,108,135546
SiU9,D,20190109,69269,69549,68979,68979,68,135468
SiU9,D,20190110,69250,69528,68947,69528,158,135202
SiU9,D,20190111,69225,69371,69099,69347,33,135216
SiU9,D,20190114,69150,69527,69100,69271,60,135212
SiU9,D,20190115,69193,69316,69120,69120,9338,116604
SiU9,D,20190116,69246,69246,68656,68670,50206,62332
SiU9,D,20190117,68570,68788,68445,68788,8235,62364
SiU9,D,20190118,68521,68569,68290,68490,22,62374
SiU9,D,20190121,68400,68609,68351,68524,119,62354
SiU9,D,20190122,68500,68665,68500,68665,8,62364
SiU9,D,20190123,68636,68646,68300,68300,25,62350
SiU9,D,20190124,68250,68250,67891,67892,107,62514
SiU9,D,20190125,67838,68256,67838,68250,65,62516
SiU9,D,20190128,68103,68253,68006,68238,54,62478
SiU9,D,20190129,68300,68520,68188,68188,48,62506
SiU9,D,20190130,68115,68130,67962,67965,9,62494
SiU9,D,20190131,67788,67788,67245,67480,119,62526
SiU9,D,20190201,67558,67724,67388,67638,164,62474
SiU9,D,20190204,67488,67650,67450,67644,60,62468
SiU9,D,20190205,67570,67658,67400,67600,86,62456
SiU9,D,20190206,67590,67888,67590,67759,86,62474
SiU9,D,20190207,67888,68061,67888,67900,39,62422
SiU9,D,20190208,68000,68100,67738,67738,56,62450
SiU9,D,20190211,67611,67688,67500,67688,54,62462
SiU9,D,20190212,67738,67738,67400,67538,57,62480
SiU9,D,20190213,67450,68038,67338,67550,1234,62886
SiU9,D,20190214,67638,69028,67638,69018,4417,67662
SiU9,D,20190215,69030,69091,68478,68528,114,67686
SiU9,D,20190218,68478,68478,68002,68070,88,67638
SiU9,D,20190219,68100,68178,67978,67978,33,67640
SiU9,D,20190220,67888,67888,67478,67478,142,67762
SiU9,D,20190221,67480,67528,67234,67234,129,67854
SiU9,D,20190222,67328,67478,67160,67250,226,67812
SiU9,D,20190225,67225,67228,66975,67175,117,67854
SiU9,D,20190226,67200,67650,67200,67620,137,67838
SiU9,D,20190227,67675,67768,67450,67650,134,67828
SiU9,D,20190228,67628,67675,67460,67625,138,67828
SiU9,D,20190301,67650,67678,67375,67550,580,67908
SiU9,D,20190304,67575,67678,67400,67450,245,67886
SiU9,D,20190305,67425,67550,67425,67550,62,67852
SiU9,D,20190306,67525,67729,67453,67729,227,67950
SiU9,D,20190307,67675,67830,67545,67788,245,67964
SiU9,D,20190311,67878,67950,67650,67766,247,68044
SiU9,D,20190312,67680,67680,67328,67351,692,68954
SiU9,D,20190313,67339,67339,67020,67075,381,69600
SiU9,D,20190314,67096,67260,66978,67260,211,69842
SiU9,D,20190315,67140,67208,66800,66811,2759,74584
SiU9,D,20190318,66800,66800,65750,66035,4964,83412
SiU9,D,20190319,66072,66100,65779,66000,11863,87474
SiU9,D,20190320,65989,66065,65790,65903,3770,92046
SiU9,D,20190321,65931,65947,65245,65418,10544,106214
SiU9,D,20190322,65398,66350,65270,66281,5164,108912
SiU9,D,20190325,66301,66389,65531,65639,4951,109530
SiU9,D,20190326,65639,66039,65481,65886,4476,110344
SiU9,D,20190327,65886,66514,65886,66514,4713,111536
SiU9,D,20190328,66529,66821,66250,66610,3628,111656
SiU9,D,20190329,66598,67297,66045,67291,8456,110764
SiU9,D,20190401,67227,67401,66837,66965,5069,111740
SiU9,D,20190402,66995,67107,66691,67033,4456,111816
SiU9,D,20190403,66981,67011,66573,66654,2894,112108
SiU9,D,20190404,66654,67129,66654,66992,2322,111962
SiU9,D,20190405,67007,67041,66635,66761,2262,111592
SiU9,D,20190408,66808,66938,66431,66466,4700,108078
SiU9,D,20190409,66465,66501,66085,66364,3185,108188
SiU9,D,20190410,66360,66417,65776,65780,3397,108510
SiU9,D,20190411,65765,66050,65658,66050,3628,109218
SiU9,D,20190412,66080,66150,65526,65705,2998,109050
SiU9,D,20190415,65739,65810,65587,65690,683,109284
SiU9,D,20190416,65702,65850,65550,65641,4622,112458
SiU9,D,20190417,65637,65637,65205,65313,3456,113106
SiU9,D,20190418,65312,65535,65170,65316,2319,113538
SiU9,D,20190419,65325,65423,65246,65399,30835,113996
SiU9,D,20190422,65396,65418,65068,65152,2547,115794
SiU9,D,20190423,65130,65205,65000,65100,2563,118988
SiU9,D,20190424,65068,65630,64984,65565,4608,120400
SiU9,D,20190425,65602,66270,65602,66044,8295,120152
SiU9,D,20190426,66078,66155,65857,66043,2658,121336
SiU9,D,20190429,66078,66163,65671,65775,1300,121650
SiU9,D,20190430,65795,65912,65555,65789,3091,124050
SiU9,D,20190502,65807,66775,65756,66720,14082,125646
SiU9,D,20190503,66797,66808,66244,66317,6726,126732
SiU9,D,20190506,66330,66738,66219,66494,4379,127480
SiU9,D,20190507,66500,66502,66183,66467,2046,127898
SiU9,D,20190508,66497,66650,66053,66146,3174,128874
SiU9,D,20190510,66162,66601,66143,66435,6080,133274
SiU9,D,20190513,66397,66698,66215,66596,6032,133378
SiU9,D,20190514,66604,66631,66072,66140,5306,134528
SiU9,D,20190515,66148,66153,65630,65658,6332,137534
SiU9,D,20190516,65660,65810,65548,65628,5109,141374
SiU9,D,20190517,65690,66015,65611,65843,1941,141308
SiU9,D,20190520,65829,65900,65510,65599,2618,142962
SiU9,D,20190521,65600,65713,65435,65511,2439,143494
SiU9,D,20190522,65511,65562,65233,65393,7668,150842
SiU9,D,20190523,65445,66007,65433,65753,13749,155952
SiU9,D,20190524,65808,65982,65470,65644,12130,165552
SiU9,D,20190527,65574,65600,65400,65469,9257,174344
SiU9,D,20190528,65444,65793,65421,65683,12668,184764
SiU9,D,20190529,65693,66426,65674,66229,28695,199470
SiU9,D,20190530,66225,66259,65917,66140,22216,210862
SiU9,D,20190531,66181,66610,66059,66228,37809,242230
SiU9,D,20190603,66329,66625,66182,66311,30876,271616
SiU9,D,20190604,66400,66441,66075,66190,31718,297990
SiU9,D,20190605,66218,66305,65948,66286,35679,319140
SiU9,D,20190606,66341,66392,66005,66066,27930,334844
SiU9,D,20190607,66078,66134,65695,65787,39205,359932
SiU9,D,20190610,65809,65838,65551,65658,180792,494570
SiU9,D,20190611,65617,65707,65328,65433,89656,542172
SiU9,D,20190613,65413,65703,65389,65398,93173,601238
